Сѓътћ,Р,С,Т,У,Ф,Х,Ц,Ч,Ш,Щ,Ъ,Ы,Ь,Э,Ю,Я,а,б,в,г,д,е,ж,з,и,й,л,м,н,о,п
Р,2,12,35,8,14,7,6,15,7,7,19,27,19,45,5,11,26,31,27,3,1,10,6,7,10,1,,,2,6,9
С,5,,,,,9,1,,6,,,6,,2,21,,8,1,,6,,,,,,1,11,,,,2
Т,35,1,5,3,3,32,,2,17,,7,10,3,9,58,6,6,19,6,7,,1,1,2,4,1,18,1,2,,3
У,7,,,,3,3,,,5,,1,5,,1,50,,7,,,2,,,,,,,,,,,
Ф,25,,3,1,1,29,1,1,13,,1,5,1,13,22,3,6,8,1,10,,,1,1,1,,5,1,,,1
Х,2,9,18,11,27,7,5,10,6,15,13,35,24,63,7,16,39,37,33,3,1,8,3,7,3,3,,,1,1,2
Ц,5,1,,,6,12,,,5,,,,,6,,,,1,,,,,,,,,,,,,
Ч,35,1,7,1,5,3,,,4,,2,1,2,9,9,1,3,1,,2,,,,,,,4,,,,4
Ш,4,6,22,5,10,21,2,23,19,11,19,21,20,32,8,13,11,29,29,3,1,17,3,11,1,1,,,1,3,17
Щ,1,1,4,1,3,,1,2,4,,5,1,2,7,9,7,3,10,2,,,,1,3,2,,,,,,
Ъ,24,1,4,1,,4,1,1,26,,1,4,1,2,66,2,10,3,7,10,,,1,,,,,,,,
Ы,25,1,1,1,1,33,2,1,36,,1,2,1,8,30,2,,3,1,6,,4,,1,,,3,20,,4,9
Ь,18,2,4,1,1,21,1,2,23,,3,1,3,7,19,5,2,5,3,9,1,,,2,,,5,1,1,,3
Э,54,1,2,3,3,34,,,58,,3,,1,24,67,2,1,9,9,7,1,,5,2,,,36,3,,,5
Ю,1,28,84,32,47,15,7,18,12,29,19,41,38,30,9,18,43,50,39,3,2,5,2,12,4,3,,,2,3,2
Я,7,,,,,15,,,4,,,9,,1,46,,41,1,,6,,,,,,,2,,,,2
а,55,1,4,4,3,37,3,1,24,,3,1,3,7,56,2,1,5,9,16,,1,1,1,2,,8,3,,,5
б,8,1,7,1,2,25,,,6,,40,13,3,9,27,11,4,11,82,6,,1,1,2,2,,1,8,,,17
в,35,1,27,1,3,31,,1,28,,5,1,1,11,56,4,26,18,2,10,,,,1,,,11,21,,,4
г,1,4,4,4,11,2,6,3,2,,8,5,5,5,1,5,7,14,7,,,1,,8,3,2,,,,9,1
д,2,,,,,2,,,2,,,,,,1,,1,1,,,,,,,,,,,,,
е,4,1,4,1,3,1,,2,3,,4,3,3,4,18,5,3,4,2,2,1,,,1,,,,,,,
ж,3,,,,,7,,,10,,2,,,,1,,,,,1,,,,,,,1,,,,
з,12,,,,,23,,,13,,2,,,6,,,,,7,1,,,,,1,,,1,,,
и,5,,,,,11,,,14,,1,2,,2,2,,,,,1,,,,,,,,1,,,
й,3,,,,,8,,,6,,,,,1,,,,,,1,,,,,,,,,,,
л,,1,9,1,3,12,,2,4,7,3,6,6,3,2,10,3,9,4,1,,16,,1,2,,,,,,
м,,2,4,1,1,2,,2,2,,6,,3,13,2,4,1,11,3,,,,,1,4,,,,1,3,1
н,,,,,,,,,,,1,,,1,,,,1,9,,,,,,,,,,,,
о,,2,1,2,1,,,3,1,,1,,1,1,1,3,1,1,7,,,,1,1,,4,,,,,
п,1,3,9,1,3,3,1,5,3,2,3,3,4,6,3,6,3,6,10,,,2,1,4,1,1,,,1,1,1